Filename-->;102m.RFL8;233m.RFL8;2746m.RFL8;279m.RFL8;307m.RFL8;485m.RFL8;5405m.RFL8;603m.RFL8;7547m.RFL8;807m.RFL8;102m;233c;2746c;279c;307c;485c;5405c;603c;7545c;812c;7545m.RFL8;812m.RFL8
0.51022;0.05190948;0.00568537;0.00940753;0.04876211;0.03140003;0.01429375;0.02419658;0.06400611;0.0059153;0.00876624;0.58333866;0.33402193;0.10571342;0.46288639;0.31427824;0.13090312;0.004628864;0.62696021;0.19020653;0.45721844;0.191928526;0.11743208
0.51492;0.06410689;0.00530087;0.00809147;0.04305599;0.02813126;0.01393253;0.02261499;0.06864549;0.00544212;0.00668606;0.74467024;0.32578194;0.09812161;0.42803395;0.29278974;0.11822409;0.00428034;0.69266414;0.18589221;0.45046207;0.185247755;0.095511435
0.520206;0.07625608;0.00561243;0.00745473;0.04038293;0.02624166;0.0133362;0.02206927;0.07318633;0.00564682;0.00585684;0.8549226;0.31833016;0.08666885;0.39409554;0.2692992;0.11469617;0.003940955;0.719531;0.18524904;0.43884266;0.192709223;0.080783903
0.524901;0.08029479;0.0054911;0.00670578;0.03530477;0.02328643;0.01251785;0.02066579;0.07425191;0.00545408;0.00488429;0.90942925;0.3097415;0.08079018;0.35487425;0.24008377;0.10670488;0.003548743;0.73678419;0.17956044;0.43646362;0.181708366;0.066681592
0.530182;0.08394234;0.00583141;0.00618096;0.03302203;0.02052878;0.01266065;0.01946926;0.07605214;0.00531617;0.00421815;0.93581134;0.30290451;0.07284086;0.32337344;0.209581;0.10699807;0.003233734;0.74113226;0.17306354;0.43556806;0.172286704;0.057946665
0.534873;0.08608981;0.00600175;0.00614752;0.02977599;0.01793066;0.01224596;0.01782794;0.07590176;0.00527588;0.00427732;0.95847575;0.30367938;0.07016826;0.29374254;0.18643298;0.10940788;0.002937425;0.74694529;0.16744554;0.43379806;0.171763669;0.05260576
0.540148;0.08640775;0.00628267;0.00584631;0.02763521;0.01500956;0.01242327;0.01711098;0.07709225;0.00489684;0.00469958;0.96454848;0.29811441;0.06345305;0.26994191;0.15486512;0.10828693;0.002699419;0.75022543;0.16560319;0.43299983;0.169024558;0.061329509
0.544834;0.08698848;0.00602846;0.00545606;0.0260989;0.01293083;0.01276339;0.01691751;0.07710102;0.00498099;0.00472386;0.97815226;0.30033437;0.06647738;0.25477195;0.13091459;0.10412106;0.00254772;0.75246923;0.16135157;0.43876886;0.161748979;0.069643483
0.550104;0.08939182;0.00721195;0.00567709;0.02415835;0.01098532;0.01241863;0.01654212;0.07874152;0.00544666;0.00512894;0.97364728;0.30191681;0.0644367;0.24010113;0.11652365;0.10394411;0.002401011;0.75946893;0.15641654;0.43863586;0.161956032;0.076244718
0.554786;0.08948216;0.00759748;0.00544678;0.02320553;0.00882504;0.01191286;0.01593922;0.07993846;0.00510021;0.00523134;0.98311452;0.30546826;0.06848413;0.22643255;0.09192031;0.09476398;0.002264326;0.75927185;0.15615503;0.4496508;0.161943795;0.090255218
0.560051;0.08966199;0.00775343;0.00538298;0.02159651;0.00712149;0.01126475;0.01461323;0.0792278;0.00499158;0.00532792;0.98186575;0.3166432;0.06158558;0.22571526;0.076801;0.1013155;0.002257153;0.76683327;0.15372096;0.4475453;0.152115406;0.092745226
0.564728;0.09040721;0.00865179;0.00552545;0.0218705;0.0062821;0.01185675;0.01504177;0.08077542;0.0052864;0.00567943;0.97044946;0.31440942;0.06134964;0.2061487;0.06530117;0.08964858;0.002061487;0.76072511;0.14646619;0.45098212;0.15671448;0.10533805
0.569988;0.09044809;0.00882692;0.00501676;0.0204025;0.00519639;0.01157843;0.01447854;0.08058993;0.0054479;0.00600938;0.99174999;0.3291433;0.06443431;0.20521067;0.05543881;0.09263905;0.002052107;0.76310772;0.14104598;0.45058526;0.15498123;0.130060528
0.575244;0.09083764;0.01058751;0.00547502;0.01972876;0.00511158;0.01271223;0.01384805;0.08065011;0.00535274;0.00846241;0.99521362;0.36713085;0.06333292;0.19579134;0.05150718;0.1035185;0.001957913;0.76380648;0.14283452;0.45879526;0.149050851;0.179710428
0.579914;0.09131052;0.01326282;0.00562851;0.0197574;0.00487484;0.01499512;0.01439092;0.08136379;0.00568721;0.01149037;0.98259839;0.44046097;0.0689749;0.19616067;0.05725239;0.13090789;0.001961607;0.76899758;0.14905;0.47707288;0.155251967;0.26172666
0.585165;0.09112451;0.01888956;0.00575102;0.02040124;0.00507243;0.02010824;0.01457825;0.08079072;0.00583543;0.01777409;0.98911079;0.55073402;0.07235178;0.19883475;0.05051487;0.18756343;0.001988348;0.76369041;0.14387451;0.50609226;0.157341651;0.412567644
0.589831;0.09163578;0.02470508;0.00568676;0.01956226;0.004752;0.02821485;0.0142894;0.08093753;0.00597771;0.02727849;1.00295083;0.65070827;0.07309092;0.19331033;0.05656202;0.27714516;0.001933103;0.77308588;0.1488816;0.55047475;0.153109984;0.575937284
0.595077;0.09219961;0.03373188;0.0060738;0.01949002;0.00470726;0.04124402;0.01462228;0.08067058;0.00585199;0.0419598;0.99476126;0.72178462;0.06690513;0.19280777;0.04822181;0.38427841;0.001928078;0.77173451;0.14795834;0.60852032;0.159749686;0.785241449
0.60032;0.0916959;0.04335769;0.00636227;0.02127257;0.0048939;0.05578349;0.0152148;0.08239514;0.0061707;0.05716398;0.99200593;0.77900783;0.07542044;0.20017377;0.05535104;0.51277323;0.002001738;0.77898064;0.15418491;0.68862407;0.154967783;0.944983965
0.604977;0.0920455;0.04748718;0.00597447;0.01964118;0.00454615;0.06320233;0.01447319;0.08068652;0.00602374;0.06413492;1.01110117;0.80827797;0.07024261;0.19639976;0.04413041;0.61159253;0.001963998;0.77566387;0.14931071;0.75165345;0.156602703;1.041202252
0.610215;0.09243718;0.05358786;0.0066232;0.019685;0.00474582;0.07171836;0.01482154;0.08055637;0.00618929;0.06890781;1.00980594;0.82101296;0.0756939;0.20149807;0.04551883;0.68962597;0.002014981;0.76514738;0.14928333;0.79860666;0.153773491;1.07142983
0.614868;0.09197784;0.05672122;0.00643279;0.02009959;0.00474859;0.07655904;0.01453816;0.08105223;0.00599882;0.06966851;1.00767213;0.84170727;0.08339708;0.20143701;0.05714472;0.74723566;0.00201437;0.77421148;0.1525578;0.8232555;0.153766456;1.08319749
0.6201;0.09258432;0.06010622;0.00666868;0.02052037;0.00468944;0.08119767;0.01483054;0.08207761;0.00635456;0.07053426;1.00787058;0.83478132;0.08476301;0.20643501;0.05566055;0.77830547;0.00206435;0.77544736;0.16206909;0.83601966;0.159971045;1.062182236
0.625329;0.09286869;0.06335705;0.00709867;0.02113779;0.00496916;0.08445031;0.01561729;0.08340396;0.00671047;0.06996968;1.01910895;0.84551565;0.08238182;0.21536297;0.0604872;0.80639349;0.00215363;0.77582453;0.15317687;0.85426506;0.161056958;1.043068319
